1	1	0	51	27
2	1	0	20	9
3	1	0	39	10
4	1	0	39	12
6	1	0	52	22
7	1	0	19	2
8	1	0	28	0
11	1	0	70	23
12	1	0	47	10
13	1	0	34	16
14	1	0	14	1
15	1	0	90	30
16	1	0	25	10
17	1	0	11	3
18	1	0	60	34
19	1	0	45	25
20	1	0	18	3
21	1	0	14	8
22	1	0	10	5
23	1	0	7	3
24	1	0	13	0
27	1	0	71	13
28	1	0	17	7
29	1	0	24	4
31	1	0	43	27
32	1	0	59	23
33	1	0	23	9
34	1	0	59	26
35	1	0	33	9
36	1	0	31	17
39	1	0	27	11
40	1	0	66	23
41	1	0	37	10
42	1	0	96	23
43	1	0	18	7
44	1	0	16	8
45	1	0	53	22
46	1	0	28	10
47	1	0	34	0
48	1	0	20	11
49	1	0	87	30
50	1	0	17	4
51	1	0	17	8
52	1	0	18	5
53	1	0	23	11
54	1	0	113	32
55	1	0	63	22
56	1	0	84	18
57	1	0	12	3
58	1	0	12	3
59	1	0	277	113
60	1	0	78	3
62	1	0	77	14
66	1	0	39	18
67	1	0	28	7
70	1	0	66	20
72	1	0	12	0
73	1	0	6	0
74	1	0	68	27
75	1	0	47	11
76	1	0	68	36
77	1	0	61	28
78	1	0	71	26
79	1	0	39	32
80	1	0	130	26
82	1	0	54	27
83	1	0	20	10
84	1	0	11	7
85	1	0	24	15
86	1	0	21	10
88	1	0	48	10
90	1	0	163	42
91	1	0	10	0
92	1	0	65	10
93	1	0	12	7
94	1	0	30	16
95	1	0	42	31
96	1	0	38	15
97	1	0	15	9
98	1	0	34	8
99	1	0	42	0
100	1	0	37	18
101	1	0	22	15
102	1	0	5	3
103	1	0	23	16
104	1	0	38	25
105	1	0	31	26
106	1	0	43	16
107	1	0	50	12
108	1	0	2	1
109	1	0	8	3
110	1	0	39	30
112	1	0	68	13
113	1	0	6	0
114	1	0	8	3
115	1	0	22	7
116	1	0	184	0
117	1	0	20	8
118	1	0	33	15
