1	1	0.955	0	138	1
2	0	0.971	0	138	1
3	0	0.968	0	138	1
4	1	0.998	0	138	1
5	0	1.002	0	138	1
6	1	0.99	0	138	1
7	0	0.989	0	138	1
8	1	1.015	0	345	1
9	4	1.043	0	345	1
10	1	1.05	0	345	1
11	0	0.985	0	138	1
12	1	0.99	0	138	1
13	0	0.968	0	138	1
14	0	0.984	0	138	1
15	1	0.97	0	138	1
16	0	0.984	0	138	1
17	0	0.995	0	138	1
18	1	0.973	0	138	1
19	1	0.962	0	138	1
20	0	0.958	0	138	1
21	0	0.959	0	138	1
22	0	0.97	0	138	1
23	0	1	0	138	1
24	1	0.992	0	138	1
25	1	1.05	0	138	1
26	1	1.015	0	345	1
27	1	0.968	0	138	1
28	0	0.962	0	138	1
29	0	0.963	0	138	1
30	4	0.968	0	345	1
31	1	0.967	0	138	1
32	1	0.963	0	138	1
33	0	0.972	0	138	1
34	1	0.984	0	138	1
35	0	0.981	0	138	1
36	1	0.98	0	138	1
37	0	0.992	0	138	1
38	4	0.962	0	345	1
39	0	0.97	0	138	1
40	1	0.97	0	138	1
41	0	0.967	0	138	1
42	1	0.985	0	138	1
43	0	0.978	0	138	1
44	0	0.985	0	138	1
45	0	0.987	0	138	1
46	1	1.005	0	138	1
47	0	1.017	0	138	1
48	0	1.021	0	138	1
49	1	1.025	0	138	1
50	0	1.001	0	138	1
51	0	0.967	0	138	1
52	0	0.957	0	138	1
53	0	0.946	0	138	1
54	1	0.955	0	138	1
55	1	0.952	0	138	1
56	1	0.954	0	138	1
57	0	0.971	0	138	1
58	0	0.959	0	138	1
59	1	0.985	0	138	1
60	0	0.993	0	138	1
61	1	0.995	0	138	1
62	1	0.998	0	138	1
63	4	0.969	0	345	1
64	4	0.984	0	345	1
65	1	1.005	0	345	1
66	1	1.05	0	138	1
67	0	1.02	0	138	1
68	4	1.003	0	345	1
69	2	1.035	0	138	1
70	1	0.984	0	138	1
71	4	0.987	0	138	1
72	1	0.98	0	138	1
73	1	0.991	0	138	1
74	1	0.958	0	138	1
75	0	0.967	0	138	1
76	1	0.943	0	138	1
77	1	1.006	0	138	1
78	0	1.003	0	138	1
79	0	1.009	0	138	1
80	1	1.04	0	138	1
81	4	0.997	0	345	1
82	0	0.989	0	138	1
83	0	0.985	0	138	1
84	0	0.98	0	138	1
85	1	0.985	0	138	1
86	0	0.987	0	138	1
87	1	1.015	0	161	1
88	0	0.987	0	138	1
89	1	1.005	0	138	1
90	1	0.985	0	138	1
91	1	0.98	0	138	1
92	1	0.99	0	138	1
93	0	0.987	0	138	1
94	0	0.991	0	138	1
95	0	0.981	0	138	1
96	0	0.993	0	138	1
97	0	1.011	0	138	1
98	0	1.024	0	138	1
99	1	1.01	0	138	1
100	1	1.017	0	138	1
101	0	0.993	0	138	1
102	0	0.991	0	138	1
103	1	1.01	0	138	1
104	1	0.971	0	138	1
105	1	0.965	0	138	1
106	0	0.962	0	138	1
107	1	0.952	0	138	1
108	0	0.967	0	138	1
109	0	0.967	0	138	1
110	1	0.973	0	138	1
111	1	0.98	0	138	1
112	1	0.975	0	138	1
113	1	0.993	0	138	1
114	0	0.96	0	138	1
115	0	0.96	0	138	1
116	1	1.005	0	138	1
117	0	0.974	0	138	1
118	0	0.949	0	138	1
