1	1	100	0	0
4	1	100	0	0
6	1	100	0	0
8	1	100	0	0
10	1	100	450	0
12	1	100	85	0
15	1	100	0	0
18	1	100	0	0
19	1	100	0	0
24	1	100	0	0
25	1	100	220	0
26	1	100	314	0
27	1	100	0	0
31	1	100	7	0
32	1	100	0	0
34	1	100	0	0
36	1	100	0	0
40	1	100	0	0
42	1	100	0	0
46	1	100	19	0
49	1	100	204	0
54	1	100	48	0
55	1	100	0	0
56	1	100	0	0
59	1	100	155	0
61	1	100	160	0
62	1	100	0	0
65	1	100	391	0
66	1	100	392	0
69	1	100	0	0
70	1	100	0	0
72	1	100	0	0
73	1	100	0	0
74	1	100	0	0
76	1	100	0	0
77	1	100	0	0
80	1	100	477	0
85	1	100	0	0
87	1	100	4	0
89	1	100	607	0
90	1	100	0	0
91	1	100	0	0
92	1	100	0	0
99	1	100	0	0
100	1	100	252	0
103	1	100	40	0
104	1	100	0	0
105	1	100	0	0
107	1	100	0	0
110	1	100	0	0
111	1	100	36	0
112	1	100	0	0
113	1	100	0	0
116	1	100	0	0
